time,values
1386 ,1014
1387 ,1020
1388 ,1020
1389 ,1020
1390 ,1020
1391 ,1020
1392 ,1023
1393 ,1023
1394 ,1017
1395 ,1023
1396 ,1023
1397 ,1017
1398 ,1020
1399 ,1020
1400 ,1020
1401 ,1020
1402 ,1017
1403 ,1020
1404 ,1020
1405 ,1023
1406 ,1017
1407 ,1029
1408 ,1029
1409 ,1029
1410 ,1029
1411 ,1029
1412 ,1029
1413 ,1029
1414 ,1026
1415 ,1032
1416 ,1032
1417 ,1029
1418 ,1032
1419 ,1026
1420 ,1029
1421 ,1029
1422 ,1029
1423 ,1029
1424 ,1032
1425 ,1023
1426 ,1026
1427 ,1029
1428 ,1029
1429 ,1032
1430 ,1029
1431 ,1029
1432 ,1029
1433 ,1026
1434 ,1029
1435 ,1029
1436 ,1032
1437 ,1032
1438 ,1029
1439 ,1026
1440 ,1029
1441 ,1029
1442 ,1032
1443 ,1032
1444 ,1029
1445 ,1026
1446 ,1026
1447 ,1032
1448 ,1026
1449 ,1032
1450 ,1029
1451 ,1032
1452 ,1026
1453 ,1029
1454 ,1032
1455 ,1029
1456 ,1029
1457 ,1032
1458 ,1029
1459 ,1029
1460 ,1026
1461 ,1026
1462 ,1032
1463 ,1029
1464 ,1032
1465 ,1035
1466 ,1038
1467 ,1038
1468 ,1038
1469 ,1026
1470 ,1023
1471 ,1035
1472 ,1053
1473 ,1056
1474 ,1062
1475 ,1059
1476 ,1068
1477 ,1068
1478 ,1065
1479 ,1065
1480 ,1065
1481 ,1062
1482 ,1074
1483 ,1068
1484 ,1068
1485 ,1068
1486 ,1065
1487 ,1062
1488 ,1068
1489 ,1065
1490 ,1065
1491 ,1068
1492 ,1065
1493 ,1065
1494 ,1065
1495 ,1068
1496 ,1068
1497 ,1065
1498 ,1065
1499 ,1065
1500 ,1065
1501 ,1065
1502 ,1065
1503 ,1068
1504 ,1068
1505 ,1071
1506 ,1071
1507 ,1068
1508 ,1065
1509 ,1068
1510 ,1071
1511 ,1065
1512 ,1065
1513 ,1065
1514 ,1068
1515 ,1062
1516 ,1065
1517 ,1065
1518 ,1071
1519 ,1068
1520 ,1065
1521 ,1068
1522 ,1065
1523 ,1062
1524 ,1068
1525 ,1065
1526 ,1062
1527 ,1068
1528 ,1068
1529 ,1071
1530 ,1065
1531 ,1068
1532 ,1062
1533 ,1053
1534 ,1041
1535 ,1038
1536 ,1032
1537 ,1026
1538 ,1023
1539 ,1023
1540 ,1020
1541 ,1017
1542 ,1017
1543 ,1017
1544 ,1017
1545 ,1017
1546 ,1020
1547 ,1011
1548 ,1017
1549 ,1011
1550 ,1020
1551 ,1020
1552 ,1014
1553 ,1014
1554 ,1020
1555 ,1020
1556 ,1011
1557 ,1017
1558 ,1017
1559 ,1017
1560 ,1017
1561 ,1023
1562 ,1020
1563 ,1020
1564 ,1020
1565 ,1014
1566 ,1017
1567 ,1014
1568 ,1017
1569 ,1020
1570 ,1032
1571 ,1029
1572 ,1032
1573 ,1029
1574 ,1029
1575 ,1026
1576 ,1029
1577 ,1026
1578 ,1032
1579 ,1023
1580 ,1029
1581 ,1029
1582 ,1032
1583 ,1029
1584 ,1029
1585 ,1026
1586 ,1032
